Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2025-08-04 21:01:03,Filtered Signals AI,,"ByBit USDT, Binance Futures, HyperLiquid Futures, BingX Futures, OKX Futures, Bitget Futures, KuCoin Futures",INJ/USDT,Cancelled,Cross (10.0X),Long,0,1 Days 1 Hours 1 Minutes,-48.5371,0,0,13.33,0,12.915-13.745,13.329999999999998,,,,,,,,,,,12.683
2025-08-04 19:01:10,Filtered Signals AI,,"Bitget Futures, KuCoin Futures, BingX Futures, ByBit USDT, Binance Futures, OKX Futures",ZRO/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,1 Days 8 Hours 14 Minutes,-33.8629,0,0,1.794,0,1.728-1.794,1.7610000000000001,1.818,,,,,,,,,,1.705
2025-08-04 09:01:12,Filtered Signals AI,,"KuCoin Futures, Bitget Futures, Binance Futures, BingX Futures, OKX Futures, ByBit USDT",EGLD/USDT,All Targets Achieved,Cross (10.0X),Long,4,3 Days 15 Hours 36 Minutes,36.6909,0,0,14.445,0,14.07-14.52,14.295,14.67,14.82,14.98,15.43,,,,,,,
2025-08-04 01:01:14,Filtered Signals AI,,"BingX Futures, Binance Futures, Bitget Futures, ByBit USDT, KuCoin Futures",ALT/USDT,All Targets Achieved,Cross (10.0X),Long,4,8 Days 22 Hours 59 Minutes,111.7083,0,0,0.03286833333333333,0,0.03186-0.03307,0.032465,0.03423,0.03538,0.03654,0.04001,,,,,,,
2025-07-30 19:01:53,Filtered Signals AI,,"ByBit USDT, KuCoin Futures, Bitget Futures, Binance Futures, BingX Futures, OKX Futures",STRK/USDT,Cancelled,Cross (10.0X),Short,0,6 Minutes,0.0,0,0,,0,0.1215-0.1311,0.1263,,,,,,,,,,,
2025-07-30 19:01:27,Filtered Signals AI,,"OKX Futures, KuCoin Futures, Bitget Futures, ByBit USDT, BingX Futures, Binance Futures",AR/USDT,Cancelled,Cross (10.0X),Short,0,6 Minutes,0.0,0,0,,0,7.147-7.628,7.3875,,,,,,,,,,,
2025-07-29 20:01:33,Filtered Signals AI,,"KuCoin Futures, Bitget Futures, BingX Futures, ByBit USDT, OKX Futures, Binance Futures",KSM/USDT,All Targets Achieved,Cross (10.0X),Short,4,3 Days 2 Hours 26 Minutes,57.2607,0,0,15.15,0,15.15-15.92,15.535,14.86,14.57,14.28,13.42,,,,,,,
2025-07-29 02:03:22,Filtered Signals AI,,"ByBit USDT, OKX Futures, BingX Futures, Binance Futures, KuCoin Futures",YFI/USDT,All Targets Achieved,Cross (10.0X),Short,4,2 Days 22 Hours 48 Minutes,27.012,0,0,5405.0,0,5405.0-5609.0,5507.0,5356.0,5308.0,5259.0,5113.0,,,,,,,
2025-07-28 16:02:10,Filtered Signals AI,,"KuCoin Futures, ByBit USDT, Bitget Futures, OKX Futures, BingX Futures, Binance Futures",MAGIC/USDT,All Targets Achieved,Cross (10.0X),Short,4,3 Days 8 Hours 44 Minutes,44.8926,0,0,0.1537,0,0.1537-0.1592,0.15645,0.1514,0.1491,0.1468,0.1399,,,,,,,
2025-07-28 05:01:18,Filtered Signals AI,,"HyperLiquid Futures, Binance Futures, BingX Futures, ByBit USDT, KuCoin Futures, OKX Futures, Bitget Futures",OP/USDT,Cancelled,Cross (10.0X),Long,0,9 Minutes,0.0,0,0,,0,0.7299-0.8081,0.769,,,,,,,,,,,
2025-07-28 03:01:05,Filtered Signals AI,,"HyperLiquid Futures, ByBit USDT, OKX Futures, Binance Futures, KuCoin Futures, BingX Futures, Bitget Futures",LDO/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,17 Hours 28 Minutes,-46.7798,0,0,1.149,0,1.093-1.149,1.121,1.174,,,,,,,,,,1.069
